제목,리뷰,평점
어벤져스: 엔드게임,크으 명대사 ~~~ hail hydra ,10
어벤져스: 엔드게임,공든탑의 마지막 한피스 ,10
어벤져스: 엔드게임,바이바이 어벤져스 스포당해도 재밌어요 ,8
어벤져스: 엔드게임,3000만큼 사랑합니다. 와우~ 굿이었어요 ,10
어벤져스: 엔드게임,엄복동하과 엔드게임하고 관람료가 같다면서요? ,10
어벤져스: 엔드게임,추억을 하나씩 되돌아보면서  다음세대를 기약하는 깔끔한 마무리 ,10
생일,천안함도 세월호도 잊지 맙시다/. ,8
어벤져스: 엔드게임,I'm iron man으로 시작해서 I'm iron man으로 끝나는 마블의 10년 3000만큼 감사했습니다... ,10
어벤져스: 엔드게임,재미있었다. 헐크는 쩌리됨 ,10
어벤져스: 엔드게임,마블사랑해요정말루?? ,10
어벤져스: 엔드게임,최고의영화입니다. 추천해요. ,10
어벤져스: 엔드게임,내가 마블을 사랑했던 시간을 멋지고 아름답게 그려줘서 고맙습니다. 첫세대가 너무 훌륭해서 오래오래 그리울것 같아요 ,10
어벤져스: 엔드게임,그냥 마지막을 장식하는 가장 위대한 영화 ,10
어벤져스: 엔드게임,재미있게 보고옴. 파 프롬 홈도 빨리 보고싶다. ,10
어벤져스: 엔드게임,어벤전스 앞부분 못보고 낯선 히어로들도 있었지만 재밌게 봤습니다 스케일은 역대급이네요 ,10
어벤져스: 엔드게임,대단원의 마지막다웠다 ,10
어벤져스: 엔드게임,울었다 이제 마블영화끝난기분 ,10
어벤져스: 엔드게임,사랑해 어벤져스 ..ㅠㅠ ,10
어벤져스: 엔드게임,별점으로 평점을 매길수가 없는 영화네요 ,10
어벤져스: 엔드게임,너무 재밌었어요ㅎㅎㅎㅎ ,10
어벤져스: 엔드게임,기대에 못미침 너무 기대햇나요 ,6
어벤져스: 엔드게임,내 인생에서 가장 행복했던 3시간 ,10
어벤져스: 엔드게임,마지막 전투씬이 다했고 꼭 결말을 그렇게 슬프게 하셨어야 했어요..?ㅠㅠㅠㅠ ,10
뽀로로 극장판 보물섬 대모험,아이가 넘 좋아했어요. ,8
어벤져스: 엔드게임,"기대이상을 보여주셨다,,,크....멋져부려 ",10
미성년,김윤석님의 연기에 대한 관록이 느껴지는 영화! 연출까지 대단하심 ,10
어벤져스: 엔드게임,"굉장히 긴 서사가 끝난 느낌...이 영화의 엔딩이 마침표가 아닌, 쉼표가 되기를.. ",8
어벤져스: 엔드게임,3시간 진짜 금방가네요 마지막이라는게 아쉽네요※평점 안좋은 사람들의 특징 > 영화평만 하면되지 평점 좋게 준사람들까지 깜. 일상생활 가능함? ㅋㅋ ,10
어벤져스: 엔드게임,"avengers assemble을 가능하게 한 것은 마블이 10년 동안 노력하여 우리에게 주는 마지막 선물일 수도 있다. 감독님들, 작가님들, 배우님들, 스태프님들, 감사합니다 ",10
어벤져스: 엔드게임,"감동적이고 좋았어요, 좀 아쉽긴 했지만 ㅎㅎ ",8
어벤져스: 엔드게임,진짜 보면서 마지막에 눈물 퐁퐁 ,10
어벤져스: 엔드게임,너무 완벽한 마무리였어요다시 만날수없다는 것이 제일 슬픔으로 다가왔네요그동안 마블을 사랑한 팬으로써 행복하지만 아쉬운 마음뿐이네요다시 보러 가야겠어요 ,10
어벤져스: 엔드게임,최고재미 있었습니다. ,10
어벤져스: 엔드게임,ㅠㅠ최고의 영화입니다 ,10
어벤져스: 엔드게임,그냥 내가 이 영화들이 개봉한 시기에 함께 존재했고 볼수 있었다는 것만으로도 너무나 큰 영광. 마블 3000만큼 사랑해요 ,10
어벤져스: 엔드게임,아 진짜 이걸 영화라고 하지!내 인생 영화다이거는 예술중에 예술이다 ,10
자전차왕 엄복동,제작비로 도박을했어도 유료관중보다 덜손해봤을거같다 ,10
어벤져스: 엔드게임,자기밖에 몰랐던 아이언맨은 대의를 위해 희생했고 대의를 위해서만 힘쓰던 캡틴아메리카는 이제야 자신의 삶을 찾았다. 서로 매우 달랐지만 결국 닮아갔다. ,10
어벤져스: 엔드게임,평점이 필요없는 영화. ,10
어벤져스: 엔드게임,액션신도 좋지만 각 캐릭터들의 스토리를 보여줘서 액션신보다 더 큰 감명을 받았습니다. 인생은 선택의 연속이라는 것과 내가 선택한 이 순간을 즐겨야겠다고 느껴지네요. ,10
노무현과 바보들,그립盧    보고싶다  ㅠㅠ 바보노짱 ,1
